歩ける,終止形,歩ける,歩く
あるける,終止形,あるける,あるく
行ける,終止形,行ける,行く
いける,終止形,いける,いく
動ける,終止形,動ける,動く
うごける,終止形,うごける,うごく
おける,終止形,おける,おく
置ける,終止形,置ける,置く
おどろける,終止形,おどろける,おどろく
驚ける,終止形,驚ける,驚く
書ける,終止形,書ける,書く
かける,終止形,かける,かく
聞ける,終止形,聞ける,聞く
きける,終止形,きける,きく
聴ける,終止形,聴ける,聴く
着ける,終止形,着ける,着く
つける　,終止形,つける　,つく
なける,終止形,なける,なく
鳴ける,終止形,鳴ける,鳴く
泣ける,終止形,泣ける,泣く
履ける,終止形,履ける,はく
履ける,終止形,履ける,履く
働ける,終止形,働ける,働く
はたらける,終止形,はたらける,はたらく
引ける,終止形,引ける,引く
ひける,終止形,ひける,ひく
弾ける,終止形,弾ける,弾く
開ける,終止形,開ける,開く
ひらける,終止形,ひらける,ひらく
ふける,終止形,ふける,ふく
吹ける,終止形,吹ける,吹く
みがける,終止形,みがける,みがく
磨ける,終止形,磨ける,磨く
やける,終止形,やける,やく
焼ける,終止形,焼ける,焼く
急げる,終止形,急げる,急ぐ
いそげる,終止形,いそげる,いそぐ
泳げる,終止形,泳げる,泳ぐ
およげる,終止形,およげる,およぐ
さわげる,終止形,さわげる,さわぐ
騒げる,終止形,騒げる,騒ぐ
ぬげる,終止形,ぬげる,ぬぐ
脱げる,終止形,脱げる,脱ぐ
写せる,終止形,写せる,写す
うつせる,終止形,うつせる,うつす
起こせる,終止形,起こせる,起こす
おこせる,終止形,おこせる,おこす
押せる,終止形,押せる,押す
おせる,終止形,おせる,おす
落とせる,終止形,落とせる,落とす
おとせる,終止形,おとせる,おとす
思い出せる,終止形,思い出せる,思い出す
おもいだせる,終止形,おもいだせる,おもいだす
返せる,終止形,返せる,返す
かえせる,終止形,かえせる,かえす
貸せる,終止形,貸せる,貸す
かせる,終止形,かせる,かす
消せる,終止形,消せる,消す
けせる,終止形,けせる,けす
こわせる,終止形,こわせる,こわす
壊せる,終止形,壊せる,壊す
さがせる,終止形,さがせる,さがす
探せる,終止形,探せる,探す
させる,終止形,させる,さす
差せる,終止形,差せる,差す
足せる,終止形,足せる,足す
たせる,終止形,たせる,たす
出せる,終止形,出せる,出す
だせる,終止形,だせる,だす
取り消せる,終止形,取り消せる,取り消す
とりけせる,終止形,とりけせる,とりけす
